station_code,people_in,people_out
150,12697273,12109991
151,5997344,6030491
152,9638952,9284693
153,7704599,7090896
154,6651283,6609055
155,3634286,3474650
156,4186803,4111454
157,5351872,5481466
158,6344626,6369940
159,3045113,3163728
201,6287751,5994919
202,10894101,11014650
203,6055053,5995670
204,3669603,3637663
205,3789596,4217001
206,4232885,4397703
207,4245311,4124912
208,4875878,4047168
209,2169712,2292237
210,6422716,6849500
211,10191272,11160625
212,10700885,11426473
213,7033848,6957987
214,9437626,9257296
215,4140087,4043687
216,20585020,20281017
217,6273299,6320329
218,2306546,2489079
219,14492235,14628908
220,15435577,13765737
221,13829972,15219009
222,24426240,24021448
223,9569365,10778760
224,6183567,5944818
225,4927698,5164435
226,11069141,12067782
227,8359487,8089162
228,14480364,14247234
229,7270869,6781632
230,19321321,18777846
231,8115396,7907815
232,17582086,17609722
233,7508056,7710705
234,14817716,14583802
235,6141642,6300722
236,6676797,6773239
237,5568470,6389114
238,9401075,9874146
239,16594753,17288073
240,9927457,10145517
241,3810309,3987933
242,3140995,3030997
243,2887799,3029195
244,884142,879697
245,488685,557177
246,1086741,1068511
247,419315,430802
248,2047526,2161342
249,3111654,3213450
250,733391,751244
309,1271590,1231100
310,6282180,6041343
311,11498063,10880722
312,5067369,5485007
313,4534863,4129876
314,5288408,5038104
315,1198281,1222473
316,2184988,2270065
317,5850804,5839307
318,5759233,6043069
319,2864071,3390448
320,2928990,3024471
321,0,0
322,2341792,2492444
323,3914950,3816612
324,2485094,2345624
325,2842605,2955473
326,9488675,10024433
327,9130829,9530843
328,1454945,1432588
329,13313995,13075608
330,3982958,2570695
331,8682575,8935118
332,11055339,11959197
333,3572652,3426921
334,1591596,1618924
335,3337929,3280882
336,633502,651761
337,2933305,2710267
338,2860840,2807487
339,5214847,5311525
340,2671217,2619405
341,2167357,2174162
342,1832548,1673172
409,4029226,3709684
410,5864623,5465555
411,5886302,6536554
412,7869813,8329632
413,8981789,8248791
414,10439624,10367146
415,4569367,4442971
416,8519085,8279353
417,6036920,5873322
418,6173613,5922435
419,4151769,4053978
420,9560245,9635004
421,5850587,6028481
422,4447201,4108600
423,7372523,7628919
424,5318078,5576365
425,6902333,7297217
426,3020782,4591708
427,3832840,3744525
428,1460646,1652303
429,4614904,4878627
430,2242752,2504246
431,859241,962024
432,5786626,6285743
433,7458952,6384401
434,387054,333058
2511,2073491,1991767
2512,1659423,1596977
2513,2460041,2343584
2514,2060266,1954228
2515,2933222,2906038
2516,5829529,6009450
2517,4267694,4241825
2518,8557487,8018246
2519,8837931,8549420
2520,4148894,3394614
2521,5023155,5431626
2522,6646649,7133823
2523,2160434,2143773
2524,1218544,1227020
2525,2916383,3014335
2526,1209974,1311338
2527,7728163,8048048
2528,3405018,3771327
2529,4086310,4179481
2530,4031560,4271809
2531,1983284,1986324
2532,1359553,1374484
2533,5197988,5269635
2534,8428235,8757268
2535,3770603,3747329
2536,1707443,1759036
2537,791106,925015
2538,1197295,1101095
2539,1894569,1966707
2540,2472301,2210233
2541,1427154,1578467
2542,1702708,1597886
2543,4929222,4555383
2544,5531403,5482794
2545,3430886,3758416
2546,4598702,4507683
2547,3986003,3680226
2548,5686507,5611313
2549,5650759,5386842
2550,2450679,2543243
2551,2921093,2776200
2552,2600292,2674466
2553,2800254,2778992
2554,4760146,4353873
2555,2617082,2615303
2556,1319763,1168244
2557,2131672,2178493
2558,1120907,1092598
2559,1953007,2039629
2560,2575703,2465348
2561,1967727,1964810
2562,821591,822328
2563,4590501,4559338
2564,1299503,1309245
2565,1365351,1352801
2566,1315676,1291272
2611,5379347,5337303
2612,1166148,1354214
2613,1377845,1351396
2614,863763,930768
2615,0,0
2616,2303116,1758996
2617,3883063,3659316
2618,3081508,3055416
2619,3999811,4332257
2620,1552258,1620227
2621,4291916,3870822
2622,4432560,4808939
2623,4063862,3926231
2624,2481335,2782797
2625,2620323,2532889
2626,2403103,2464947
2627,5286198,5093893
2628,2083161,1883348
2629,1833049,1573218
2630,1570570,1557564
2631,3172400,3288620
2632,2546438,2919702
2633,628602,634340
2634,1084658,1080738
2635,1139148,1197250
2636,2456349,2547014
2637,2596135,2607878
2638,1063804,878096
2639,2189727,2027125
2640,3011265,3004844
2641,2345773,2250974
2642,3393675,3366949
2643,1892167,1697368
2644,2756771,2587024
2645,3732090,3836759
2646,1670481,1835908
2647,3388275,2692588
2648,2674451,2526192
2649,0,0
2711,723142,338853
2712,2847101,3442270
2713,4029335,3988116
2714,3845910,3663228
2715,6011446,6330789
2716,4291272,3916466
2717,5319361,5026260
2718,3611474,3603073
2719,2597114,2446907
2720,3113598,3051491
2721,3363518,3293015
2722,5237113,4942624
2723,4772573,4687797
2724,5054771,5027007
2725,1879037,1854753
2726,3080066,2892518
2727,4497384,3627095
2728,3800440,3761393
2729,3812258,3902934
2730,2770275,2688923
2731,5580400,6166548
2732,4735922,5191326
2733,6729394,7135025
2734,5864576,6328646
2735,1767712,1698023
2736,4947365,4062216
2737,4204738,4277444
2738,4770192,4639225
2739,3356770,3138875
2740,3649040,3717722
2741,3165632,3063421
2742,2909916,2840096
2743,4930560,4756790
2744,2924269,2898416
2745,3640706,3490247
2746,2583917,2581481
2747,4722471,4956394
2748,12884974,12750775
2749,6441492,6593815
2750,6906399,6819852
2751,3393874,3227271
2752,3122430,2906131
2753,2357039,2290180
2754,1468796,1301530
2755,2860092,2804547
2756,4300970,4284251
2757,3886637,3858493
2758,3956254,4097521
2759,1583515,1447397
2760,2734511,2880573
2761,2783929,2410599
2811,5679320,5097180
2812,4636373,5311248
2813,3089380,3200125
2814,1840902,1867752
2815,4364987,5034667
2816,2352231,2734025
2817,2300410,2316444
2818,2323278,2572782
2819,6102887,6386480
2820,5203556,5025798
2821,3275962,2859790
2822,1879155,1895433
2823,4134399,3783203
2824,3206211,3097722
2825,1395919,1495603
2826,1614590,1475010
2827,1444073,1147602
2828,41623,46621
