시도,승용,승합,화물,특수,계
서울," 2,485,793 "," 154,162 "," 348,815 "," 5,490 "," 2,994,260 "
부산," 948,006 "," 55,172 "," 188,881 "," 8,922 "," 1,200,981 "
대구," 853,612 "," 40,011 "," 161,813 "," 2,012 "," 1,057,448 "
인천," 964,496 "," 58,352 "," 170,059 "," 5,136 "," 1,198,043 "
광주," 464,107 "," 25,117 "," 87,771 "," 1,922 "," 578,917 "
대전," 502,029 "," 26,301 "," 84,915 "," 1,676 "," 614,921 "
울산," 408,158 "," 17,401 "," 68,012 "," 2,277 "," 495,848 "
세종," 43,375 "," 2,972 "," 11,070 ", 157 ," 57,574 "
경기," 3,649,343 "," 244,549 "," 708,870 "," 11,680 "," 4,614,442 "
강원," 482,219 "," 33,865 "," 139,432 "," 1,942 "," 657,458 "
충북," 508,825 "," 34,668 "," 141,766 "," 2,830 "," 688,089 "
충남," 661,083 "," 46,495 "," 197,482 "," 3,230 "," 908,290 "
전북," 580,409 "," 37,116 "," 174,533 "," 2,585 "," 794,643 "
전남," 558,149 "," 41,913 "," 215,660 "," 5,630 "," 821,352 "
경북," 884,999 "," 55,750 "," 288,275 "," 5,681 "," 1,234,705 "
경남," 1,156,945 "," 65,233 "," 271,542 "," 5,928 "," 1,499,648 "
제주," 274,022 "," 20,398 "," 67,812 ", 731 ," 362,963 "
총계," 15,425,570 "," 959,475 "," 3,326,708 "," 67,829 "," 19,779,582 "
,,,,,
,,,,,
