시도,합계,과로,과속,앞지르기방법위반,앞지르기금지위반,중앙선침범,신호위반,안전거리미확보,일시정지위반,부당한회전,우선권양보불이행,진로양보불이행,안전운전의무불이행,교차로운행방법위반,보행자보호의무위반,차로위반(진로변경),직진우회전진행방해,철길건널목통과방법,긴급차피양의무위반,기타,정비불량
합계,"232,035",1,593,90,362,"11,998","26,511","21,708",618,"1,552",12,53,"130,551","14,671","7,582","3,596","6,792",5,2,"5,327",11
서울,"41,665",1,77,14,10,"1,601","5,071","5,630",61,262,3,2,"23,007","1,343","1,458",768,737,-,-,"1,619",1
부산,"12,757",-,38,1,6,573,"1,629","1,500",94,72,-,5,"6,664",869,548,257,204,-,-,295,2
대구,"14,228",-,25,2,2,435,"1,282","1,782",3,159,2,3,"8,000",961,497,284,320,-,-,471,-
인천,"8,727",-,40,2,5,417,"1,260",574,3,35,-,-,"5,305",382,331,142,18,-,-,213,-
광주,"7,864",-,16,4,7,380,885,990,9,85,1,1,"4,022",755,218,228,117,-,-,146,-
대전,"6,901",-,9,1,1,341,973,678,4,26,-,2,"3,899",375,258,79,67,-,-,187,1
울산,"5,368",-,12,2,4,354,629,559,3,35,-,1,"2,738",441,196,103,192,1,-,98,-
세종,536,-,2,-,2,37,84,8,-,1,-,-,326,25,22,1,20,-,-,8,-
경기,"52,954",-,117,24,63,"2,501","7,031","4,810",276,421,4,14,"29,725","3,487","1,339",812,"1,010",-,-,"1,320",-
강원,"8,912",-,23,4,18,619,781,845,19,63,-,1,"4,864",782,331,129,328,-,1,104,-
충북,"9,335",-,20,5,27,530,"1,008",656,41,51,-,2,"5,394",800,246,93,342,-,-,119,1
충남,"9,421",-,46,3,50,732,942,404,20,67,-,6,"5,509",683,301,90,474,-,-,93,1
전북,"8,873",-,43,3,38,543,"1,170",637,5,104,-,1,"4,601",410,400,71,719,1,-,127,-
전남,"10,420",-,35,6,37,659,819,532,10,44,-,5,"6,309",750,246,134,687,-,-,144,3
경북,"15,752",-,55,3,51,"1,094","1,123",723,32,65,2,5,"10,090","1,099",412,205,637,3,1,151,1
경남,"13,677",-,18,12,35,934,"1,450",880,27,55,-,3,"7,699","1,138",525,171,543,-,-,186,1
제주,"4,645",-,17,4,6,248,374,500,11,7,-,2,"2,399",371,254,29,377,-,-,46,-
,,,,,,,,,,,,,,,,,,,,,
